Pretty. Odd,7Hk9WbjPbN1n2GXaK7aldw
The 1975,33ZqJmmqFE8Z7Ak1Lxbnfb
Riot!,71rziY9eLo1tA2dBMxrwhc
How Will You Know If You Never Try,4TJUrdwbeKC9qcouPlBuLe
Hello Nasty,6eGYLONkDMja0MNtZWnRRB
BTR,2RjFzASjHZG1lUbCKqUahx
Decade duran duran,4P6rgSkSEXFGrpTk9NZUAj
Synchronicity,5W9OT0a5iZlBr83a9WMKFY
Paramore,4sgYpkIASM1jVlNC8Wp9oF
"I like it when you sleep, for you are so beautiful yet so unaware of it",1JFmNyVPdBF1ECvv4fhpW4
Gossamer,14JU5SskmcyckE5I8PY6lv
SOS,07w0rG5TETcyihsEIZR3qG
The Doors,1jWmEhn3ggaL6isoyLfwBn
Because the Internet,62yjWIhnATHxPqGbgC9Lqr
Room On Fire,3HFbH1loOUbqCyPsLuHLLh
The Ride,07IHAhsG4FnnfHQSb3bbAZ
Can't Buy A Thrill,4Gh6pRaXqXTtJx4plAJbBw
Boston,2QLp07RO6anZHmtcKTEvSC
Random Access Memories,4m2880jivSbbyEGAKfITCa
Elevate,2vlQEIT6XEYVKfaKQwADnk
Angles,6Jx4cGhWHewTcfKDJKguBQ
Rumours,1bt6q2SruMsBtcerNVtpZB
Off The Wall,2ZytN2cY4Zjrr9ukb2rqTP
PORTALS,4kI7ZZF6CgDGFTjZNFwXYG
Spider-Man: Across the spider-verse,1bwbZJ6khPJyVpOaqgKsoZ
ASTROWORLD,18NOKLkZETa4sWwLMIm0UZ
Currents,79dL7FLiJFOO0EoehUHQBv
The Wall,5Dbax7G8SWrP9xyzkOvy2F
Luv is Rage 2,733e1ZfktLSwj96X5rsMeE
Duran Duran,0PqCkTvKFJxzr9uujq7a3T
The Melodic Blue,3r46DPIQeBQbjvjjV5mXGg
The Peace and the Panic,76NbbdvTc4yP50p5m4u9H3
blonde,3mH6qwIy9crq0I9YQbOuDf
Wish You Were Here,6uvBKDGlJAYLH5Vy6RQVsc
Weezer (Green Album),2OBSz5Nlto0Q5CtYPzPY7c
What Could Possibly Go Wrong,1BubKJqf6Uc4fNae5kLJJ7
Favourite Worst Nightmare,6rsQnwaoJHxXJRCDBPkBRw
Dangerous: The Double Album,6JlCkqkqobGirPsaleJpFr
"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1
American Beauty/American Psycho,022DrG7Wp2PSCwzuD0bSzT
III Communication,6lfjbwFGzQ6aSNP1N3JlT8
A Night At the Opera,6X9k3hSsvQck2OfKYdBbXr
Songs From The Big Chair,3myPwaMYjdwhtq0nFgeG6W
Mr. Morale & The Big Steppers,79ONNoS4M9tfIA1mYLBYVX
London Calling,6FCzvataOZh68j8OKzOt9a
Melophobia,4EK8gtQfdVsmDTji7gBFlz
The Bends,500FEaUzn8lN9zWFyZG5C2
Strange Days,6v5IVMmY1IvWtbfnQoiFSf
Rio,02tfQwJSOLP77oCd9U8bqm
Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O
To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP
Bad,3Us57CjssWnHjTUIXBuIeH
Science & Faith,2oc73A20I1FTQiWGCkLeVP
Jazz,21HMAUrbbYSj9NiPPlGumy
Songs about Jane,1Rv9WRKyYhFaGbuYDaQunN
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du
DAMN.,4eLPsYPBmXABThSJ821sqY
Is This It,0jBE7Fn78EAvmIs3dCd6GO
Anthem Of The Peaceful Army,7zeCZY6rQRufc8IHGKyXGX
Stick Season,50ZenUP4O2Q5eCy2NRNvuz
UTOPIA,41GuZcammIkupMPKH2OJ6I
Overexposed,2pjfMmH52fryXVQuWTWOgP
Man On The Moon,2S8AWAM0nxyFy66YnUfIs3
The Dark Side of the Moon,4LH4d3cOWNNsVw41Gqt2kv
channel ORANGE,392p3shh2jkxUxY2VHvlH8
Camp,2nkHPk6e7TgemWh07yFHxh
#3,63eaHsLLsW1e5ISNf7ISZy
Stranger in the Alps,0qWcLfCZ8wtcoOdX14oGNI
This Is Why,6tG8sCK4htJOLjlWwb7gZB
Pink Tape,2ua5bFkZLZl1lIgKWtYZIz
Flower Boy,2nkto6YNI4rUYTLqEwWJ3o
IGOR,5zi7WsKlIiUXv09tbGLKsE
Kid A,19RUXBFyM4PpmrLRdtqWbp
The Battle at Garden's Gate,7kjLKy9JLbwM9F7eDQEnd2
Reggatta De Blanc,2EpuND32cO7CX0gXZl2NB6
Licensed To III,11oR0ZuqB3ucZwb5TGbZxb
The Balcony,0C0OFASoQC57yC12vQhCwN
The Stranger,1Mhn9VosyjtWn4dMPFlna6
Born To Run,43YIoHKSrEw2GJsWmhZIpu
Thank You Happy Birthday,0WizSRN8LuMWhliou9PFlg
Speakerboxxx/The Love Below,1UsmQ3bpJTyK6ygoOOjG1r
Weezer (Blue Album),1xpGyKyV26uPstk1Elgp9Q
One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh
The Maine,40ptDph9mAXMnkZJKRe3UM
"Strangeways, Here We Come",7jfexk2w5aDI25njkN0UGg
Physical Graffiti,1lZahjeu4AhPkg9JARZr5F
Let It Bleed,4l4u9e9jSbotSXNjYfOugy
Open Up and Say...Ah...,1XKDdHnYVcbcguSX2pXoP8
The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN
"Too Weird to Live, Too Rare to Die!",1hxraaWEf3wFnJxADf8Dge
American Candy,7jlH02enYGsEsMyiSLVXgk
Being Funny In A Foreign Language,6dVCpQ7oGJD1oYs2fv1t5M
From The Fires,6uSnHSIBGKUiW1uKQLYZ7w
Day & Age,0Ug5scDXUIgGN8yanDBLQw
Thriller,2ANVost0y2y52ema1E9xAZ
First Impressions Of Earth,1HQ61my1h3VWp2EBWKlp0n
OK Computer,7dxKtc08dYeRVHt3p9CZJn
Purple Rain,7nXJ5k4XgRj5OLg9m8V3zc
Paul's Boutique,1kmyirVya5fRxdjsPFDM05
Take A Vacation!,0aVQtk9RS7xTuKcHym1ZsY
